label,message
GeneralInquiry,Do you recycle tetrapaks?
ServiceComplaint,"absolutely disgusting service, bins left open and rubbish everywhere on the street, sort your lazy workers out"
MissedCollection,Again missed my place – 21 Cloverfield. Getting tired of this.
MissedCollection,Why do you keep missing our address?
PositiveFeedback,Love your service! Always prompt and the staff are lovely.
MissedCollection,Missed pickup again. This is the second time this month. Not sure what’s going on but it’s getting a bit annoying.
GeneralInquiry,What bin should lightbulbs go into? Or do I need to dispose of them differently?
PositiveFeedback,Your drivers are always courteous and hardworking!!! Great service every time. 😊
GeneralInquiry,Can I recycle aluminum foil?
DamagedProperty,Your truck damaged my front garden wall on last collection day. There's a big crack now. Please contact me to arrange repair.
GeneralInquiry,¿Recogen basura electrónica como móviles viejos?
PositiveFeedback,Top notch service.
GeneralInquiry,When does the new garden waste subscription start for 2026? And how much is it?
MissedCollection,"heyy, not tryna be a pain but our bin got LEFT behind againn. this is the 2nd week runnin and i aint sure why. we put it out sunday night like the leaflet says, no food bits inside coz we got separate caddy. live at 3 meadow drive, yeovil. can u pls sort a pickup cause its overflowing and the foxes are making a right mess. my partner reckons the crew might have skipped cos the lid was slightly open but honestly it's just because the cardboard doesn't bend, everything else is within limits. the neighbour’s bin was way worse and they still took theirs. if it's some rule we don't know about can you drop us a note, we're happy to follow. till then appreciate a quick fix before our tiny front garden turns into mount recycling."
PositiveFeedback,The team on the Somerset route are always so polite and helpful. Cheers!
ServiceComplaint,"they slam the bins down on the path, so loud"
ServiceComplaint,They didn't put the bins back where they found them. Left them blocking the path.
MissedCollection,bin not emptied AGAIN. second week running. whats going on greenbin???
ServiceComplaint,"Why do your staff keep leaving stickers and notes with conflicting instructions? One week it says ‘lid must be shut’, the next it says ‘do not compact cardboard’, the next it says ‘bin too heavy’ when it’s nowhere near full. It’s chaos. I’m in Langport and I’m tired of guessing what rule will pop up next. If there are real limits (weight, materials), publish them clearly and apply them consistently. Right now it feels arbitrary and frankly a bit power-trippy. I want a clear, updated guidance document and I want crews instructed to stop leaving nonsense notes that contradict each other."
DamagedProperty,My bin was crushed by the truck.
MissedCollection,bin not emptied. neighbours were. no idea why. pls fix.
ServiceComplaint,The driver threw rubbish all over our driveway yesterday morning. Made a terrible mess and didn't bother to clean it up
GeneralInquiry,Do you collect on bank holidays or is it postponed?
DamagedProperty,Bin men broke my gate again. This needs repairing.
GeneralInquiry,Hi can I sign up for the garden waste collection service please?
ServiceComplaint,staff ignored me when I waved them down
ServiceComplaint,poor service standard declining rapidly. Used to be great now its just awful.
MissedCollection,"Missed collection yet again at my address in Taunton. Before you reply with ‘bin not presented’, it WAS presented. I even put it in the exact spot your last call handler told me to, which is ridiculous because it’s my driveway and I can place my bin where I like. It’s now overflowing with cardboard from Christmas deliveries and I’m not storing it indoors because you can’t manage a basic route. Also, your online form has no proper tracking number, so I have zero confidence this goes anywhere. Please arrange a return collection and stop treating paying residents like we’re lying. I’ve already taken time off work once to deal with this nonsense."
PositiveFeedback,Your team were brilliant during the bad weather last week. Cheers!
GeneralInquiry,what happens to the plastic after you collect it? i'm doing a school project and would love to know more about the recycling process in somerset. do you have any leaflets or info on your website?
GeneralInquiry,Can businesses use GreenBin Recycling services too?
MissedCollection,"Hi, our recycling wasn't collected this morning on Runaway Road. Is there a delay?"
ServiceComplaint,Your collectors are always leaving the bins in the middle of the driveway. Very inconsiderate. Please train them properly.
ServiceComplaint,your drivers are absolutely rude! !!  they threw my bin back down and left rubbish all over my drive. this is unacceptable
GeneralInquiry,can u recycle bubble wrap
MissedCollection,Entire block skipped? All bins left out.
GeneralInquiry,Hi there—do you recycle hard plastics like toy fragments and garden pipe? Please advise before I put them out.
ServiceComplaint,The collectors threw my bin so hard it rolled down the street. Totally unprofessional. Please train your staff properly.
MissedCollection,Recycling not collected today. Bin was out since 6am. Getting a bit fed up now.
MissedCollection,no collection this tuesday???  calendar says it should of been collected
GeneralInquiry,Can you collect from my flat?
ServiceComplaint,I waited in all day because you said there was an issue and nobody came.
MissedCollection,my recycling bin not picked up for 3 weeks. fix it
ServiceComplaint,"the men dont put the bins back, always in the road"
GeneralInquiry,do you recycle batteries or electrical items?
GeneralInquiry,hi do you take old batteries? and where do i leave them if i have some?
GeneralInquiry,Do you offer extra bins for larger households?
DamagedProperty,Your lorry took out my wing mirror this morning. Silver truck reg ending in KX58. I have photos.
DamagedProperty,Massive dent in my wheelie bin after collection last week. Looks like it was run over.
GeneralInquiry,Do you take styrofoam/polystyrene?
GeneralInquiry,Can you tell me what items are allowed in the green recycling bin?
